"post_id","title","content","tags","publish_time"
"1","啊实打实的","发射点方法是否收费人员如题","二手交易","2026-03-28 17:13:28"
"2","凑企鹅","啊收到了，咕咕嘎嘎","失物招领","2026-03-28 17:36:11"
"3","你好","我爱玩原神","二手交易","2026-03-28 17:38:35"
"4","周六晚上8点","我要表白软工一班张三","表白墙","2026-03-28 21:17:29"
"5","我的刀盾","八格压路","二手交易","2026-03-29 00:01:02"
"6","666","666","二手交易","2026-03-30 21:33:03"
"7","如题","我们学校连热水都供应不起了吗。怎么洗澡都没热水","吐槽","2026-03-31 16:07:15"
"8","出手","出学校见生卡（谐音） 到4月25结束 100出","二手交易","2026-03-31 16:07:57"
"9",".","有没有起泡很强的牙膏推荐，又轻薄起泡又强的那种","树洞","2026-03-31 16:08:30"
"10",".","有没有起泡很强的牙膏推荐，又轻薄起泡又强的那种","树洞","2026-03-31 16:08:30"
"11","收二手书本","收智能变电站二次系统","二手交易","2026-03-31 16:08:56"
"12","健身房","想问一下学校健身房什么时候人比较少，新手有点尴尬。","树洞","2026-03-31 16:09:17"
"13","ber","在路上游烟和一下课就在教学楼门口大抽特抽的烟人嘴是贱吗？以为自己可有范了[呕吐]","吐槽","2026-03-31 16:09:47"
"14","二手书","收成本会计模拟实训","二手交易","2026-03-31 16:10:02"
"15","找人呢","有没有宝宝当采访的演员 有稿子照着念加点语气就行 需要十几位 有偿 有意者私","互助","2026-03-31 16:10:58"
"16","外卖丢了","L16A-302A的同学你外卖送错了，送到L17了","互助","2026-03-31 16:11:22"
"17","问","超市里有卖食用油的吗？","互助","2026-03-31 16:11:39"
"18","求问","学校里的理发店，理发师技术咋样，价格怎么样呀","二手交易","2026-03-31 16:11:59"
"19","出书","便宜出四级听力耳机","二手交易","2026-03-31 16:12:46"
"20","找伴","蹲蹲愿意一起去做刘宇宁演唱会志愿者的女生搭子[色]","互助","2026-03-31 16:13:06"
"21","问","有谁知道校园举报电话啊","互助","2026-03-31 16:13:21"
"22","交友","18岁男大来","互助","2026-03-31 20:37:48"
"23","le跑","找le跑","互助","2026-04-01 08:15:41"
"24","重修","开班重修的科目必须要去听吗？😭","互助","2026-04-01 08:16:03"
"25","项链","想问一下有同学捡到这条手链吗","失物招领","2026-04-01 08:16:27"
"26","水卡","有人出水卡吗","二手交易","2026-04-01 08:16:46"
"27","蹲","蹲一下21财管2班的同学，路过踢一踢我，想表白一位同学，求帮忙","表白墙","2026-04-01 08:17:41"
"28","哈哈哈","捞个对象","表白墙","2026-04-01 08:17:56"
"29","找","捞一下跆拳道比赛外国语学院的女孩子","二手交易","2026-04-01 08:18:13"
"30","shjdjs","想要校花大赛第三的联系方式","表白墙","2026-04-01 08:18:35"
"31","男","感觉自己挺帅的，希望剩下的大学时光里可以找到一个女朋友，有意者私聊","表白墙","2026-04-01 08:19:47"
"32","捞人","可以捞一下工商篮球队13号陈震宇联系方式吗[大哭][大哭][大哭]#捞人","表白墙","2026-04-01 08:20:12"
"33","555","超级喜欢一个学姐，在社团见过她，虽然有一点点点点点的精神，但是我真的好喜欢，好没勇气表白，评论超过100就去表白🥺🥺","表白墙","2026-04-01 08:20:41"
"34","自行车","出自行车，牌子红旗，上学期十月买的，工具啥的都有，锁两个，两个座椅一个打气筒，一个灯，两个裤绳等物品","二手交易","2026-04-01 08:21:03"
"35","哈哈哈","出花知晓眼影腮红口红修容","二手交易","2026-04-01 08:21:16"
"36","火花","出体重秤","二手交易","2026-04-01 08:22:53"
"37","出","有没有人出坐标线","二手交易","2026-04-01 08:24:20"
"38","好","学校门口新开的七碗湘，肉丝土豆盖饭，店里17而且没有折扣，10元出","二手交易","2026-04-01 08:24:37"
