comment_id,user_id,post_id,content,timestamp
4,user_1106,2,这种偶遇真的好戳人！我上次在食堂打翻餐盘也有个女生默默帮我收拾，陌生人的善意真的能温暖一整天。祝你找到他呀！,2026-03-11 10:15:00
5,user_951,3,哇你这描述得太美了！我上周也偶然去过一次，真的震撼，感觉比任何滤镜都好看。下次约着一起去啊！,2026-03-10 00:45:00
11,user_3570,3,哇你这描述得太美了！我上周也偶然上去过一次，真的会被那种开阔感震撼到。下次约着一起去看日落啊！,2026-03-16 00:45:00
17,user_2814,3,哇你这描述得太美了！我上周也偶然上去过一次，真的会被那种开阔感震撼到。下次约着一起去看日落啊！,2026-03-08 19:45:00
2,user_2684,5,真的假的？我天天去二楼都没注意到！明天中午就去试试，要是没你说的这么好吃你得请我喝奶茶啊,2026-03-17 15:45:00
8,user_2374,5,真的假的？我天天去二楼都没注意到！明天中午就去试试，要是没你说的这么好你得请我喝奶茶啊！,2026-03-19 12:45:00
13,user_544,5,真的假的？我天天去二楼都没注意到！明天中午就去试试，要是没你说的好吃你得请我喝奶茶啊！,2026-03-23 00:45:00
21,user_741,5,真的假的？我天天去二楼都没注意到！明天中午就去试试，要是没你说的好吃你得请我喝奶茶啊！,2026-03-23 06:45:00
6,user_1174,1,哇这个场景描述得好有画面感！楼主好怂啊哈哈，不过我也经常这样，看到想认识的人就是不敢上前。祝你能找到她！,2026-03-11 22:45:00
9,user_1114,1,哇这个场景描述得好有画面感！楼主好怂啊哈哈，不过我也经常在图书馆看到心动的人不敢搭话。祝你能找到她！,2026-03-17 04:45:00
16,user_1858,1,哇这个场景好浪漫！楼主加油啊，说不定她也经常去三楼自习呢，下次遇到可以试试递张小纸条？,2026-03-16 19:45:00
19,user_4448,1,哇这个场景描述得好有画面感！楼主好怂啊哈哈，不过我也经常这样，遇到想认识的人就是不敢上前。祝楼主成功！,2026-03-16 19:45:00
24,user_4766,1,哇，这个画面感好强！我也经常在图书馆三楼自习，说不定见过你们俩呢。楼主加油啊，下次遇到直接打招呼吧！,2026-03-12 19:45:00
1,user_409,4,兄弟我懂你！上周食堂遇到个女生也是这样，犹豫半天没敢要微信，现在肠子都悔青了。建议下次直接带本高数去问问题，自然又合理！,2026-03-30 02:15:00
12,user_4755,4,兄弟我懂你！上周食堂遇到个女生也是这样，犹豫半天没敢要微信，现在肠子都悔青了。要不明天同一时间去图书馆蹲点？,2026-03-25 20:15:00
18,user_1363,4,兄弟我懂你！上周食堂遇到个女生也是这样，犹豫半天没敢要微信，现在肠子都悔青了。要不明天同一时间再去图书馆蹲点？,2026-03-26 05:15:00
25,user_2175,4,兄弟我懂你！上周食堂遇到个女生也是这样，犹豫半天没敢要微信，现在肠子都悔青了。建议下次直接带本高数去问问题，自然又不会尴尬！,2026-03-27 19:15:00
3,user_342,6,姐妹我懂你！我们宿舍也有个呼噜战神，后来大家凑钱给他买了个止鼾枕，效果还行。要不你们也试试？,2026-03-17 10:30:00
10,user_4883,6,姐妹我懂你！我们宿舍也有个呼噜战神，后来大家凑钱给他买了个止鼾枕，效果还行。要不你们也试试？,2026-03-22 16:30:00
15,user_4301,6,姐妹我懂你！我们宿舍也有个呼噜战神，后来大家凑钱给他买了个止鼾枕，效果还行。要不你们也试试？,2026-03-22 09:30:00
20,user_587,6,姐妹我懂你！我们宿舍也有个打呼噜的，后来我们集资给他买了个止鼾枕，效果还不错。要不你们也试试？,2026-03-21 11:30:00
27,user_1228,6,姐妹我懂你！我们宿舍也有个呼噜战神，后来大家凑钱给他买了个止鼾枕，效果还行。要不你们也试试？,2026-03-18 22:30:00
23,user_3372,8,哇！我昨天也在六楼复习，看到晚霞时整个人都被治愈了。期末季的疲惫感瞬间消失，感觉又能再战三小时！,2026-03-24 00:45:00
29,user_4855,8,哇！昨天我也在六楼，看到晚霞时整个人都愣住了，真的像油画一样！瞬间觉得复习都值得了。,2026-03-26 07:45:00
33,user_464,8,哇真的！我昨天也在图书馆看到晚霞了，当时还拍了张钟楼的照片，朋友圈都刷屏了。这种时候就觉得在咱们学校读书真幸福。,2026-03-22 03:45:00
34,user_1305,13,我上学期也挂了高数，最后选的王老师。虽然总点名，但平时分确实给得大方，最后总评过了。建议你优先考虑平时分高的。,2026-03-16 11:45:00
7,user_4025,7,兄弟我懂你！上学期在自习室也遇到过类似情况。建议你下次带包纸巾，假装不小心碰掉她的笔，帮忙捡的时候自然搭句话。,2026-03-27 16:15:00
14,user_4056,7,我懂这种感觉！建议你下次带包纸巾或者笔，假装不小心掉在她旁边，捡的时候可以自然地搭句话。,2026-03-24 01:15:00
22,user_1567,7,我懂这种感觉！建议你下次带包纸巾或笔，假装不小心掉在她旁边，捡的时候可以自然地搭句话。,2026-03-27 13:15:00
28,user_4747,7,我懂这种感觉！建议你下次带包纸巾或笔，假装不小心掉在她旁边，捡的时候可以自然地搭句话。,2026-03-29 05:15:00
35,user_3913,7,我懂这种感觉！上学期在自习室也遇到过类似情况。建议你下次带包糖，假装分享零食时自然搭话，比如“复习累了吧，吃颗糖？”,2026-03-24 20:15:00
41,user_4370,7,我懂这种感觉！建议你下次带包纸巾或笔，假装不小心掉在她旁边，捡的时候可以自然地搭句话。,2026-03-28 02:15:00
26,user_1646,10,哇我也去了！王教授讲得真好，那个电车难题的例子我现在还在想。最后提问的学长是我们系的，他最近就在研究这个方向。,2026-03-15 19:30:00
32,user_3983,10,我也去了！王教授讲得确实好，那个电车难题的例子让我一晚上都在想。听说他下个月还有一场，一起约？,2026-03-17 07:30:00
37,user_4253,10,哇，我也去听了！王教授讲得真好，特别是电车难题那段，我回宿舍还跟室友讨论了半天。,2026-03-16 19:30:00
43,user_4563,10,哇！我也去了！王教授讲得真的超棒，那个电车难题的例子我现在还记得。听说他下个月还有一场，一起蹲？,2026-03-22 08:30:00
31,user_1206,12,楼主好人！我上学期丢过专业课笔记，急得满图书馆跑，最后也是被好心同学捡到还回来了。帮顶，希望王明早点看到！,2026-03-13 22:45:00
39,user_448,12,楼主好人！我上学期也丢过专业课笔记，急得满图书馆跑，最后被好心人放到了失物招领处。建议你拍张书的照片发出来，万一失主没看到帖子呢？,2026-03-14 19:45:00
46,user_1777,12,楼主好人！我上学期也丢过专业课笔记，急得满图书馆跑，最后被好心人放到了失物招领处。建议你拍张书的照片发出来，万一失主没看到帖子呢？,2026-03-13 04:45:00
45,user_4211,16,太真实了！我上次抢《西方艺术史》也是疯狂刷新半小时，最后只抢到《机械制图基础》，现在对着图纸一脸懵。,2026-03-17 06:30:00
